Time(ms),Main(mA),Main Voltage(V),
114.3110499382019,275.31916252337726,4.18375,
114.31128978729248,264.6440724353419,4.18325,
114.31145691871644,267.4662226885007,4.18675,
114.31166696548462,260.10409159330385,4.1835,
114.31186294555664,262.067326552023,4.1835,
114.3120448589325,264.398668065502,4.182,
114.31229400634766,262.8035396615427,4.18175,
114.3124508857727,270.16567075673953,4.1850000000000005,
114.31264805793762,261.3311134425033,4.18625,
114.3128378391266,261.82192218218313,4.1842500000000005,
114.31303787231444,280.1045477352552,4.18475,
114.31328988075256,271.26999042101903,4.1815,
114.3134548664093,297.6509601788077,4.18375,
114.3136429786682,293.72449026136934,4.18475,
114.31384181976318,292.4974684121699,4.181,
114.31403708457948,297.16015143912784,4.179,
114.31428575515748,290.1661268986909,4.18375,
114.31446504592896,263.78515714090224,4.1845,
114.31463408470154,262.92624184646263,4.18275,
114.31496286392212,261.82192218218313,4.1842500000000005,
114.31508207321168,273.96943848925787,4.18375,
114.31529593467712,264.52137025042197,4.1857500000000005,
114.315447807312,274.3375450440177,4.18125,
114.3156418800354,283.5402089130137,4.18275,
114.31584692001344,274.3375450440177,4.18225,
114.31605577468872,272.12890571545864,4.1825,
114.31629276275636,275.68726907813715,4.1865,
114.3164768218994,267.8343292432605,4.18375,
114.31664276123048,266.607307394061,4.18175,
114.3168649673462,266.4846052091411,4.1850000000000005,
114.31706881523132,285.0126351320531,4.18525,
114.31729793548584,267.34352050358075,4.182,
114.3174638748169,266.97541394882086,4.1815,
114.31766200065611,269.06135109246,4.184,
114.31783199310304,266.97541394882086,4.18175,
114.31805801391602,264.1532636956621,4.18775,
114.31829881668092,261.6992199972632,4.1845,
114.3184700012207,260.10409159330385,4.1845,
114.31865096092224,258.1408566345847,4.1865,
114.31885600090028,271.392692605939,4.1835,
114.31906008720398,272.9878210098983,4.1835,
114.31928491592409,260.7176025179036,4.1857500000000005,
114.31945395469666,258.38626100442457,4.18625,
114.3196349143982,266.97541394882086,4.18275,
114.31984281539916,282.55859143365416,4.18225,
